Time Period,1,2,3,4,5,6,
OutputGas,4916.666667,6000,6000,6000,6000,6000,
OutputCoal,0,2766.666667,4016.666667,5166.666667,5166.666667,3166.666667,
OutputNuclear,2833.333333,2833.333333,2833.333333,2833.333333,2833.333333,2833.333333,
OutputWind,6000,6000,6000,6000,6000,6000,
OutputInterconnect,0,0,0,0,0,0,
OutputHydro,0,400,1150,2000,0,0,
IncreaseGas,0,1083.333333,0,0,0,0, inc_cost = 65000
IncreaseCoal,0,2766.666667,1250,1150,0,0, inc_cost = 413333.3333
IncreaseNuclear,0,0,0,0,0,0, inc_cost = 0
IncreaseWind,0,0,0,0,0,0, inc_cost = 0
IncreaseInterconnect,0,0,0,0,0,0, inc_cost = 0
IncreaseHydro,0,400,750,850,0,0, inc_cost = 10000
,,,,,,,
Demand,72000,36000,160000,88000,40000,36000,
Total Output,82500,36000,160000,88000,40000,36000,
Reserve,25000,25000,19000,12600,13400,14200,
Power for Pump,1750,0,0,0,0,0,